rupresblkmst,rupresblkdry,rupresblkcem,rupresplate,mannerfailure,stickiness,plasticity,rvindicator,chkey,chconsistkey
Friable,NA,NA,NA,,,,Yes,52474460,5300999
Firm,NA,NA,NA,,,,Yes,52474461,5301000
Very firm,NA,NA,NA,,,,Yes,52474462,5301001
Friable,NA,NA,NA,,,,Yes,52474463,5301290
Firm,NA,NA,NA,,,,Yes,52474464,5301208
Very firm,NA,NA,NA,,,,Yes,52474465,5301033
Very firm,NA,NA,NA,Semideformable,Moderately sticky,Moderately plastic,Yes,52474466,5301183
Friable,NA,NA,NA,Nonfluid,Slightly sticky,Slightly plastic,Yes,52474467,5301069
Firm,NA,NA,NA,Deformable,Moderately sticky,Moderately plastic,Yes,52474468,5301070
Firm,NA,NA,NA,Deformable,Moderately sticky,Moderately plastic,Yes,52474469,5301071
Very firm,NA,NA,NA,Semideformable,Moderately sticky,Moderately plastic,Yes,52474470,5301274
Friable,NA,NA,NA,,,,Yes,52474836,5301227
Firm,NA,NA,NA,,,,Yes,52474837,5301132
Firm,NA,NA,NA,,,,Yes,52474838,5301310
Very firm,NA,NA,NA,,,,Yes,52474839,5301133
Friable,NA,NA,NA,,,,Yes,52474840,5300966
Firm,NA,NA,NA,,,,Yes,52474841,5300967
Very firm,NA,NA,NA,,,,Yes,52474842,5301242
Very firm,NA,NA,NA,,,,Yes,52474843,5301041
Friable,NA,NA,NA,,,,Yes,52474844,5301243
Firm,NA,NA,NA,,,,Yes,52474845,5301042
Firm,NA,NA,NA,,,,Yes,52474846,5301043
Friable,NA,NA,NA,,,,Yes,52474847,5301044
Firm,NA,NA,NA,,,,Yes,52474848,5301045
Very firm,NA,NA,NA,,,,Yes,52474849,5301244
Firm,NA,NA,NA,,,,Yes,52474850,5301151
Very firm,NA,NA,NA,,,,Yes,52474854,5300968
Friable,NA,NA,NA,,,,Yes,52474855,5301245
Firm,NA,NA,NA,,,,Yes,52474856,5301152
Firm,NA,NA,NA,,,,Yes,52474857,5300969
Friable,NA,NA,NA,,,,Yes,52474862,5301134
Firm,NA,NA,NA,,,,Yes,52474863,5301135
Very firm,NA,NA,NA,,,,Yes,52474864,5301136
Friable,NA,NA,NA,Nonfluid,Slightly sticky,Slightly plastic,Yes,52474865,5301097
Firm,NA,NA,NA,Deformable,Moderately sticky,Moderately plastic,Yes,52474866,5301098
Firm,NA,NA,NA,Deformable,Moderately sticky,Moderately plastic,Yes,52474867,5301099
Very firm,NA,NA,NA,Semideformable,Moderately sticky,Moderately plastic,Yes,52474868,5301201
Very firm,NA,NA,NA,Semideformable,Moderately sticky,Moderately plastic,Yes,52474869,5301100
Very firm,NA,NA,NA,Semideformable,Moderately sticky,Moderately plastic,Yes,52474870,5301121
Very firm,NA,NA,NA,Semideformable,Moderately sticky,Moderately plastic,Yes,52474871,5301122
Friable,NA,NA,NA,Nonfluid,Slightly sticky,Slightly plastic,Yes,52474872,5301123
Firm,NA,NA,NA,Deformable,Moderately sticky,Moderately plastic,Yes,52474873,5301124
Firm,NA,NA,NA,Deformable,Moderately sticky,Moderately plastic,Yes,52474874,5301125
Friable,NA,NA,NA,,,,Yes,52474875,5301267
Firm,NA,NA,NA,,,,Yes,52474876,5301175
Firm,NA,NA,NA,,,,Yes,52474877,5300992
Very firm,NA,NA,NA,,,,Yes,52474878,5301268
Very firm,NA,NA,NA,,,,Yes,52474892,5301015
Friable,NA,NA,NA,,,,Yes,52474893,5301016
Firm,NA,NA,NA,,,,Yes,52474894,5301017
Friable,NA,NA,NA,,,,Yes,52474907,5300970
Very firm,NA,NA,NA,,,,Yes,52474908,5300971
Firm,NA,NA,NA,,,,Yes,52474909,5300972
Very firm,NA,NA,NA,,,,Yes,52474910,5301046
Firm,NA,NA,NA,,,,Yes,52474911,5301047
Friable,NA,NA,NA,,,,Yes,52474912,5301246
Firm,NA,NA,NA,,,,Yes,52474913,5301048
Firm,NA,NA,NA,,,,Yes,52474914,5301049
Firm,NA,NA,NA,,,,Yes,52474915,5301153
Friable,NA,NA,NA,,,,Yes,52474916,5300973
Firm,NA,NA,NA,,,,Yes,52474917,5301154
Very firm,NA,NA,NA,,,,Yes,52474918,5301247
Firm,NA,NA,NA,,,,Yes,52474919,5301155
Very firm,NA,NA,NA,,,,Yes,52474920,5301248
Firm,NA,NA,NA,,,,Yes,52474921,5301156
Friable,NA,NA,NA,,,,Yes,52474922,5301249
