taxmoistcl,cokey,cotaxmckey
Aquic,17961049,6801290
Aquic,17961050,6801289
Aquic,17961051,6801288
Aquic,17961097,6801285
Aquic,17961098,6801287
Udic,17961099,6801286
Aquic,17961209,6801341
Aquic,17961210,6801342
Udic,17961211,6801339
Udic,17961212,6801340
Aquic,17961214,6801291
Udic,17961215,6801293
Aquic,17961216,6801292
Aquic,17961217,6801294
Aquic,17961218,6801298
Aquic,17961219,6801295
Udic,17961220,6801297
Aquic,17961224,6801296
Aquic,17961227,6801336
Aquic,17961228,6801338
Udic,17961229,6801337
Aquic,17961230,6801335
