taxfamother,cokey,cotaxfokey
not used,17960876,12519109
not used,17960877,12519110
not used,17960976,12519118
not used,17960977,12519119
not used,17961019,12519128
not used,17961049,12519191
not used,17961050,12519190
not used,17961051,12519189
not used,17961097,12519186
not used,17961098,12519188
not used,17961099,12519187
not used,17961209,12519254
not used,17961210,12519255
not used,17961211,12519252
not used,17961212,12519253
not used,17961214,12519192
not used,17961215,12519194
not used,17961216,12519193
not used,17961217,12519195
not used,17961218,12519199
not used,17961219,12519196
not used,17961220,12519198
not used,17961224,12519197
not used,17961227,12519249
not used,17961228,12519251
not used,17961229,12519250
not used,17961230,12519248
